7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
,-9.02E+00,,2.36E-01,,
,-1.61E+01,,6.28E+00,,
,4.07E+00,,-7.57E+00,,
,-1.54E+01,,-8.10E+00,,
,-2.51E+00,,4.75E+00,,
,-8.96E+00,,-4.24E+00,,
,-4.96E+00,,1.98E+01,,
,-6.29E+00,,2.54E+01,,
,1.12E+01,,6.82E+00,,
,5.42E+00,,-1.38E+00,,
,-1.01E+01,,-7.86E-01,,
,-3.42E+00,,-3.92E-01,,
,-5.33E+00,,-3.88E+00,,
,2.83E+00,,-5.24E+00,,
,-8.46E+00,,-7.85E+00,,
,-1.44E+01,,1.45E+01,,
,-6.82E+00,,1.79E+01,,
,-9.01E-01,,2.26E+01,,
,2.80E+01,,1.53E+01,,
,-1.33E+01,,1.08E+01,,
,-1.30E+01,,2.99E+01,,
,-8.73E+00,,4.00E+01,,
,-1.55E+01,,2.17E+01,,
,3.22E+00,,2.07E+01,,
,-9.21E+00,,2.29E+01,,
,-2.12E+00,,3.20E+01,,
,-5.21E+00,,3.83E+01,,
,-7.05E+00,,1.84E+01,,
,-2.78E+00,,1.75E+01,,
,-4.85E+00,,3.84E+01,,
,-8.20E+00,,2.34E+01,,
,-6.24E+00,,4.18E+01,,
,1.66E+01,,3.31E+01,,
,-7.85E+00,,3.10E+01,,
,-7.48E+00,,1.93E+01,,
,6.78E-02,,2.79E+01,,
,5.04E+01,,2.92E+01,,
,-1.24E+01,,1.95E+01,,
,-2.42E+00,,2.62E+01,,
,-1.70E+01,,2.30E+01,,
,-7.35E+00,,2.65E+01,,
,-1.44E+01,,2.20E+01,,
,-1.69E+01,,2.09E+01,,
,-1.93E-01,,2.08E+01,,
,-1.95E+01,,2.14E+01,,
,-1.84E+01,,3.54E+01,,
,-1.30E+01,,3.07E+01,,
,-1.64E+01,,2.83E+01,,
,-8.33E+00,,2.88E+01,,
,-1.17E+01,,2.88E+01,,
,-1.76E+01,,2.28E+01,,
,1.64E+01,,2.67E+01,,
,-1.65E+01,,3.93E+01,,
,-1.79E+01,,2.37E+01,,
,-2.18E+01,,2.57E+01,,
,-1.40E+01,,2.96E+01,,
,-8.76E+00,,6.50E+01,,
,-1.66E+01,,2.58E+01,,
,-1.42E+01,,4.72E+01,,
,-1.47E-01,,2.01E+01,,
,-1.59E+01,,3.53E+01,,
,-1.65E+01,,2.27E+01,,
,-1.32E+01,,3.64E+01,,
,-9.03E+00,,4.34E+01,,
,-1.56E+01,,6.70E+01,,
,-1.85E+01,,2.70E+01,,
,-2.17E+01,,2.41E+01,,
,-1.58E+01,,2.41E+01,,
,-1.61E+01,,2.88E+01,,
,-1.31E+01,,2.64E+01,,
,-1.58E+01,,2.33E+01,,
,-1.86E+01,,1.75E+01,,
,-1.52E+01,,3.16E+01,,
,-1.38E+01,,6.92E+01,,
,-1.67E+01,,5.21E+01,,
,-2.73E+01,,3.30E+01,,
,-2.47E+01,,2.39E+01,,
,-2.03E+01,,2.17E+01,,
,-1.81E+01,,3.11E+01,,
,-2.47E+01,,2.87E+01,,
,-1.34E+01,,2.72E+01,,
,-1.75E+01,,3.57E+01,,
,-2.20E+01,,2.77E+01,,
,-2.60E+01,,3.26E+01,,
,-1.74E+01,,3.27E+01,,
,-2.13E+01,,2.99E+01,,
,-2.51E+01,,3.56E+01,,
,-2.69E+01,,3.33E+01,,
,-2.51E+01,,3.04E+01,,
,-1.93E+01,,1.96E+01,,
,-1.61E+01,,2.66E+01,,
,-1.75E+01,,2.78E+01,,
,-1.95E+01,,1.52E+01,,
,-1.56E+01,,2.86E+01,,
,-2.53E+01,,4.16E+01,,
,-1.81E+01,,3.67E+01,,
,-2.69E+01,,1.76E+01,,
,-1.86E+01,,2.60E+01,,
,-1.82E+01,,3.27E+01,,
,-2.31E+01,,3.58E+01,,
,-2.33E+01,,3.17E+01,,
,-2.47E+01,,3.19E+01,,
,-2.61E+01,,2.99E+01,,
,1.92E+01,,4.14E+01,,
,-2.35E+01,,3.18E+01,,
,-2.80E+01,,2.96E+01,,
,1.09E+01,,2.53E+01,,
,-2.63E+01,,3.92E+01,,
,-2.46E+01,,2.63E+01,,
,-2.42E+01,,4.43E+01,,
,-1.99E+01,,3.21E+01,,
,-3.18E+01,,2.88E+01,,
,-3.34E+01,,3.08E+01,,
,-2.99E+01,,2.57E+01,,
,-2.32E+01,,2.70E+01,,
,-1.01E+01,,2.64E+01,,
,-1.45E+01,,4.37E+01,,
,-1.62E+01,,4.26E+01,,
,-6.57E+00,,2.77E+01,,
,-6.92E+00,,1.59E+01,,
,-1.79E+01,,2.26E+01,,
,-2.58E+00,,1.80E+01,,
,-2.51E+00,,2.44E+01,,
,-7.76E+00,,3.35E+01,,
,9.23E-01,,1.79E+01,,
,-1.09E+01,,2.65E+01,,
,3.74E+00,,2.94E+01,,
,2.81E+00,,2.96E+01,,
,-1.13E+01,,3.17E+01,,
,6.69E+00,,1.84E+01,,
,4.48E+00,,2.17E+01,,
,-5.14E+00,,1.56E+01,,
,2.27E+00,,4.79E+01,,
,7.62E+00,,2.36E+01,,
,6.43E+00,,2.43E+01,,
,-9.62E+00,,1.82E+01,,
,7.01E+00,,3.35E+01,,
,7.93E+00,,2.72E+01,,
,-8.00E-02,,2.45E+01,,
,8.40E+00,,2.26E+01,,
,-3.09E-02,,2.21E+01,,
,9.48E-01,,3.23E+01,,
,1.14E+01,,3.45E+01,,
,-3.28E-02,,3.16E+01,,
,2.44E+00,,3.56E+01,,
,2.40E+00,,2.10E+01,,
,9.37E+00,,2.81E+01,,
,8.92E+00,,3.16E+01,,
,6.70E+00,,3.44E+01,,
,1.14E+01,,2.61E+01,,
,5.70E+00,,2.37E+01,,
,1.70E+01,,2.92E+01,,
,6.38E+00,,3.35E+01,,
,7.74E+00,,3.49E+01,,
,1.41E+01,,3.38E+01,,
,1.59E+01,,4.96E+01,,
,6.17E+00,,3.50E+01,,
,8.17E-01,,2.63E+01,,
,1.70E+01,,2.80E+01,,
,4.26E+00,,5.97E+01,,
,2.52E+01,,6.09E+01,,
,7.56E+00,,2.95E+01,,
,1.52E+01,,2.40E+01,,
,1.38E+01,,3.13E+01,,
,6.80E+00,,2.50E+01,,
,2.86E+00,,2.58E+01,,
,1.47E+01,,1.96E+01,,
,5.17E+00,,3.43E+01,,
,1.28E+01,,3.03E+01,,
,4.26E+00,,3.04E+01,,
,1.87E+01,,4.63E+01,,
,7.60E+00,,2.98E+01,,
,1.20E+01,,4.66E+01,,
,4.68E+00,,2.52E+01,,
,1.73E+01,,3.05E+01,,
,6.75E+00,,5.51E+01,,
,3.20E+01,,4.00E+01,,
,8.65E+00,,2.96E+01,,
,1.35E+01,,3.50E+01,,
,9.79E+00,,2.69E+01,,
,1.98E+01,,2.52E+01,,
,1.07E+01,,3.17E+01,,
,7.83E+00,,3.63E+01,,
,5.59E+00,,4.07E+01,,
,9.89E+00,,2.40E+01,,
,1.16E+01,,2.48E+01,,
,9.15E+00,,2.34E+01,,
,1.11E+01,,3.54E+01,,
,8.78E+00,,3.97E+01,,
,7.68E+00,,3.06E+01,,
,9.00E+00,,2.70E+01,,
,1.09E+01,,2.77E+01,,
,7.09E+00,,5.98E+01,,
,1.27E+01,,3.33E+01,,
,1.39E+01,,2.07E+01,,
,5.30E+00,,2.71E+01,,
,1.38E+01,,2.43E+01,,
,1.12E+01,,4.35E+01,,
,4.93E+00,,2.77E+01,,
,9.38E+00,,3.23E+01,,
,3.01E+00,,3.43E+01,,
,4.34E+00,,1.75E+01,,
,1.12E+01,,3.20E+01,,
,1.48E+01,,2.77E+01,,
,2.18E+00,,3.26E+01,,
,6.06E+00,,4.00E+01,,
,1.37E+01,,3.24E+01,,
,-7.08E-01,,2.67E+01,,
,1.42E+01,,3.65E+01,,
,1.20E+01,,3.29E+01,,
,1.46E+01,,3.48E+01,,
,7.06E+00,,3.58E+01,,
,1.26E+01,,3.52E+01,,
,1.12E+01,,2.22E+01,,
,1.02E+00,,5.75E+01,,
,5.78E+00,,2.36E+01,,
,5.22E+00,,2.90E+01,,
,3.84E+01,,2.71E+01,,
,1.55E+01,,3.44E+01,,
,3.13E+00,,3.61E+01,,
,4.77E+00,,2.07E+01,,
,2.96E+00,,2.41E+01,,
,2.55E+00,,2.81E+01,,
,8.07E+00,,3.19E+01,,
,8.54E+00,,1.32E+01,,
,5.15E+01,,2.22E+01,,
,7.59E+00,,2.45E+01,,
,3.52E+00,,2.89E+01,,
,3.55E+00,,2.38E+01,,
,-2.36E-02,,2.59E+01,,
,1.76E+00,,1.71E+01,,
,1.03E+01,,2.30E+01,,
,3.45E+00,,2.23E+01,,
,5.18E+00,,1.27E+02,,
,1.59E+01,,7.64E+01,,
,-3.79E+00,,4.39E+01,,
,4.44E+00,,2.61E+01,,
,6.03E+00,,3.34E+01,,
,1.38E+01,,7.72E+01,,
,1.59E+01,,5.58E+01,,
,6.22E+00,,2.71E+01,,
,9.66E+00,,3.14E+01,,
,1.04E+01,,1.54E+01,,
,9.02E+00,,2.04E+01,,
,6.39E+00,,2.07E+01,,
,1.83E+01,,2.34E+01,,
,9.22E+00,,4.75E+01,,
,1.47E+01,,2.98E+01,,
,1.64E+01,,2.28E+01,,
,1.15E+01,,4.66E+01,,
,1.08E+01,,3.88E+01,,
,1.24E+01,,1.45E+01,,
,1.55E+01,,2.47E+01,,
,9.56E+00,,2.27E+01,,
,3.98E+01,,2.04E+01,,
,3.08E+01,,3.06E+01,,
,1.38E+01,,2.26E+01,,
,1.06E+01,,2.98E+01,,
,6.47E+00,,2.41E+01,,
,7.65E+00,,2.36E+01,,
,1.21E+01,,2.71E+01,,
,5.80E+00,,2.52E+01,,
,3.22E+01,,4.00E+01,,
,1.51E+01,,3.55E+01,,
,1.60E+01,,3.15E+01,,
,1.69E+01,,1.55E+01,,
,1.61E+01,,1.27E+01,,
,1.10E+01,,3.26E+01,,
,2.02E+01,,2.09E+01,,
,2.43E+01,,2.28E+01,,
,1.34E+01,,1.90E+01,,
,2.14E+01,,3.24E+01,,
,4.73E+01,,3.19E+01,,
,2.49E+01,,2.48E+01,,
,1.74E+01,,2.65E+01,,
,9.59E+00,,1.81E+01,,
,9.81E+00,,2.18E+01,,
,1.60E+01,,1.75E+01,,
,1.35E+01,,6.15E+01,,
,1.46E+01,,2.19E+01,,
,2.30E+01,,3.00E+01,,
,5.23E+01,,2.30E+01,,
,2.36E+01,,2.43E+01,,
,1.18E+01,,2.97E+01,,
,8.48E+00,,2.60E+01,,
,1.22E+01,,3.56E+01,,
,8.52E+00,,3.13E+01,,
,1.09E+01,,3.69E+01,,
,1.31E+01,,1.23E+01,,
,1.24E+01,,2.39E+01,,
,5.15E+01,,2.55E+01,,
,9.41E+00,,2.74E+01,,
,1.28E+01,,2.81E+01,,
,1.49E+01,,2.70E+01,,
,8.73E+00,,2.22E+01,,
,3.74E+00,,2.04E+01,,
,1.67E+01,,2.98E+01,,
,2.08E+01,,6.96E+01,,
,2.27E+01,,2.06E+01,,
,8.92E+00,,2.10E+01,,
,9.70E+00,,2.47E+01,,
,1.29E+01,,2.04E+01,,
,2.24E+01,,1.91E+01,,
,1.93E+01,,2.01E+01,,
,2.34E+01,,2.82E+01,,
,2.24E+01,,1.60E+01,,
,1.44E+01,,2.17E+01,,
,-1.61E+01,,2.23E+01,,
,-4.22E+00,,2.88E+01,,
,-2.65E+00,,2.52E+01,,
,-7.47E+00,,2.42E+01,,
,-7.05E+00,,2.30E+00,,
,6.47E+00,,7.23E-01,,
,-3.78E+00,,1.23E+01,,
,-1.99E+00,,1.18E+01,,
,-5.88E+00,,1.15E+01,,
,-4.10E+00,,9.98E+00,,
,1.48E+00,,1.15E+01,,
,-9.58E+00,,1.12E+01,,
,-1.86E+00,,4.23E+00,,
,-2.26E+00,,2.91E+00,,
,-3.02E+00,,4.46E+00,,
,3.30E+00,,5.29E+00,,
,-5.26E+00,,6.69E+00,,
,-2.43E+00,,8.45E+00,,
,1.55E+00,,2.37E+01,,
,-1.50E+00,,9.96E+00,,
,5.60E+00,,5.32E+00,,
,-3.99E+00,,3.11E+00,,
,-1.63E+01,,4.35E-01,,
,-5.92E+00,,7.17E+00,,
,-7.14E+00,,1.95E+01,,
,-7.00E+00,,1.35E+01,,
,-1.29E+00,,1.17E+01,,
,-3.46E+00,,6.74E+00,,
,-5.79E+00,,1.16E+01,,
,-9.20E+00,,5.60E+00,,
,6.32E+00,,5.02E+00,,
,2.11E+01,,3.51E+01,,
,-5.31E+00,,6.00E+00,,
,-5.15E+00,,9.03E+00,,
,1.19E+00,,9.47E+00,,
,-4.82E+00,,1.46E+01,,
,-5.31E+00,,4.04E+00,,
,-1.04E+01,,1.11E+01,,
,-7.52E+00,,1.23E+01,,
,-5.61E+00,,3.23E+01,,
,-1.69E+01,,1.56E+01,,
,-5.82E+00,,1.59E+00,,
,-1.19E+01,,6.31E+00,,
,-4.81E+00,,1.95E+01,,
,-2.63E+00,,-2.20E+00,,
,3.46E+00,,1.08E+01,,
,6.36E+00,,-7.35E+00,,
,1.69E+00,,-6.38E+00,,
,5.43E-01,,-4.01E-01,,
,-9.69E+00,,-1.30E+01,,
,-1.07E+01,,-1.57E+01,,
,-8.96E+00,,-9.03E+00,,
,-4.38E+00,,-1.87E+01,,
,-6.87E+00,,-4.35E+00,,
,-1.55E+01,,-2.37E+01,,
,-2.95E+00,,-1.82E+01,,
,-5.42E+00,,-1.78E+01,,
,-8.69E+00,,-1.40E+01,,
,-3.86E+00,,-1.42E+01,,
,-7.26E+00,,-1.65E+01,,
,-2.22E+00,,-1.67E+01,,
,-1.02E+01,,-2.13E+01,,
,-2.09E+00,,1.16E+01,,
,-5.64E+00,,-1.73E+01,,
,-4.88E+00,,8.14E-01,,
,-5.10E+00,,-2.11E+01,,
,-4.07E+00,,-2.98E+01,,
,-1.05E+01,,-3.43E+01,,
,1.77E-01,,-1.72E+01,,
,2.41E+00,,-1.65E+01,,
,-5.17E-01,,-1.63E+01,,
,-4.20E+00,,8.35E+01,,
,-2.97E-01,,-2.26E+01,,
,-6.85E+00,,-2.40E+01,,
,7.41E-01,,-3.16E+01,,
,-1.08E+01,,-1.76E+01,,
,-7.52E+00,,-1.89E+01,,
,-2.16E+00,,-2.43E+01,,
,-5.60E+00,,-1.72E+01,,
,-1.18E+01,,-2.58E+01,,
,-3.71E+00,,-2.46E+01,,
,-1.06E+01,,-2.63E+01,,
,-5.52E+00,,-2.65E+01,,
,-1.48E+01,,-2.05E+01,,
,-1.48E+01,,-1.45E+01,,
,2.20E+00,,-2.19E+01,,
,-3.88E+00,,-1.08E+01,,
,-1.01E+01,,-2.67E+01,,
,4.40E+00,,-2.45E+01,,
,2.08E+00,,-2.00E+01,,
,-4.88E+00,,-2.05E+01,,
,-2.31E+00,,-2.82E+01,,
,-6.40E+00,,-2.25E+01,,
,-5.42E+00,,-2.29E+01,,
,-1.27E-01,,-2.05E+01,,
,-1.03E+00,,-2.83E+01,,
,-3.06E+00,,-1.28E+01,,
,-1.09E+01,,-1.67E+01,,
,-9.50E+00,,-1.76E+01,,
,9.38E-01,,-1.93E+01,,
,-6.33E+00,,-2.34E+01,,
,-8.81E-01,,-8.20E+00,,
,-1.83E+00,,-1.54E+01,,
,-3.51E+00,,-1.73E+01,,
,-1.00E+01,,-1.95E+01,,
,-1.57E+01,,-1.48E+01,,
,-6.51E+00,,-3.49E+00,,
,-1.20E+01,,5.63E+00,,
,-1.06E+01,,1.77E+00,,
,-3.20E+00,,-1.46E+01,,
,-1.22E+01,,-5.11E+00,,
,-1.80E+01,,-1.45E+01,,
,-5.05E+00,,-1.50E+01,,
,-1.60E+01,,-1.33E+01,,
,-1.09E+01,,-1.07E+01,,
,1.55E+00,,-1.81E+01,,
,-1.05E+01,,-1.63E+01,,
,-1.15E+01,,-1.92E+01,,
,-1.48E+01,,-1.19E+01,,
,-8.97E+00,,-1.92E+01,,
,-5.07E+00,,-2.08E+01,,
,-1.29E+01,,-1.78E+01,,
,-3.62E+00,,-1.81E+01,,
,-1.19E+01,,-2.19E+01,,
,-1.40E+01,,-1.79E+01,,
,-1.20E+01,,-1.73E+01,,
,-1.59E+01,,-1.69E+01,,
,-1.53E+01,,-1.15E+01,,
,-2.09E+01,,-2.00E+01,,
,-1.85E+01,,-1.67E+01,,
,-2.15E+01,,-1.95E+01,,
,-1.20E+01,,-1.45E+01,,
,-2.22E+01,,-1.82E+01,,
,-8.29E+00,,-2.47E+01,,
,-2.65E+01,,-1.73E+01,,
,-2.95E+01,,-1.27E+01,,
,-2.81E+01,,-1.63E+01,,
,-3.61E+01,,-1.57E+01,,
,-2.99E+01,,-1.14E+01,,
,-3.86E+01,,-1.21E+01,,
,-3.90E+01,,-1.13E+01,,
,-3.58E+01,,-1.69E+01,,
,-3.84E+01,,-8.88E+00,,
,-3.76E+01,,-2.15E+01,,
,-3.79E+01,,7.33E+00,,
,-4.08E+01,,-1.35E+01,,
,-3.93E+01,,-1.49E+01,,
,-4.05E+01,,-2.35E+01,,
,-4.15E+01,,-1.46E+01,,
,-4.97E+01,,-1.39E+01,,
,-4.36E+01,,-1.16E+01,,
,-4.35E+01,,-1.04E+01,,
,-4.76E+01,,-3.30E+00,,
,-4.45E+01,,-1.33E+01,,
,-3.86E+01,,-1.11E+01,,
,-4.58E+01,,-1.17E+01,,
,-5.03E+01,,-1.12E+01,,
,-4.30E+01,,-6.79E+00,,
,-3.97E+01,,-1.16E+01,,
,-4.19E+01,,-1.27E+01,,
,-4.08E+01,,-4.62E+00,,
,-3.49E+01,,-1.69E+01,,
,-4.66E+01,,-1.40E+01,,
,-4.12E+01,,-9.84E+00,,
,-4.72E+01,,-5.89E+00,,
,-3.70E+01,,-3.41E-01,,
,-4.48E+01,,-1.82E+00,,
,-4.79E+01,,-3.29E+00,,
,-3.91E+01,,1.47E+00,,
,-4.12E+01,,-5.21E+00,,
,-4.62E+01,,-1.45E+01,,
,-3.89E+01,,1.28E+01,,
,-4.19E+01,,-6.58E+00,,
,-3.88E+01,,-2.59E+00,,
,-4.62E+01,,-6.73E+00,,
,-4.51E+01,,-3.62E+00,,
,-4.61E+01,,-5.61E+00,,
,-4.40E+01,,-8.38E+00,,
,-4.44E+01,,-5.01E+00,,
,-3.93E+01,,-5.47E+00,,
,-4.75E+01,,-2.28E+00,,
,-4.43E+01,,-2.26E+00,,
,-4.68E+01,,-6.56E+00,,
,-4.26E+01,,-1.27E+00,,
,-3.63E+01,,2.55E+00,,
,-4.45E+01,,-1.20E+01,,
,-4.18E+01,,-8.64E+00,,
,1.44E+01,,-3.82E+00,,
,-3.50E+01,,-1.12E+01,,
,-4.73E+01,,-6.64E+00,,
,-5.00E+01,,-5.38E+00,,
,-3.87E+01,,-6.42E+00,,
,-4.10E+01,,-5.15E+00,,
,-4.48E+01,,1.91E-01,,
,-4.05E+01,,6.96E+00,,
,-3.87E+01,,-1.27E+01,,
,-4.72E+01,,-6.81E+00,,
,-3.49E+01,,-1.50E+01,,
,-3.78E+01,,-1.35E+01,,
,-3.48E+01,,-5.08E+00,,
,-5.06E+01,,-5.97E+00,,
,-4.21E+01,,-1.03E+01,,
,-3.99E+01,,-4.71E+00,,
,-8.21E+00,,-3.72E+00,,
,-4.30E+01,,-6.57E+00,,
,-4.28E+01,,-9.24E-01,,
,-4.83E+01,,-9.60E+00,,
,-4.81E+01,,-6.68E+00,,
,-3.70E+01,,8.57E+00,,
,-2.99E+01,,2.55E+01,,
,-4.84E+01,,-4.02E+00,,
,-4.45E+01,,-6.62E+00,,
,-4.46E+01,,3.54E+00,,
,-4.50E+01,,-7.78E+00,,
,-3.75E+01,,-5.28E+00,,
,-4.90E+01,,-5.50E+00,,
,-4.53E+01,,-8.27E+00,,
,-4.76E+01,,-6.30E+00,,
,-4.40E+01,,-8.62E+00,,
,-4.94E+01,,1.35E-01,,
,-4.66E+01,,-6.69E+00,,
,-4.50E+01,,7.46E+00,,
,-4.53E+01,,8.99E+00,,
,-4.56E+01,,-4.58E+00,,
,-4.01E+01,,-6.81E+00,,
,-4.32E+01,,-8.34E+00,,
,-4.54E+01,,-5.89E-01,,
,-4.81E+01,,-3.48E+00,,
,-3.77E+01,,-1.04E+01,,
,-4.17E+01,,1.78E+01,,
,-3.73E+01,,7.10E+00,,
,-4.07E+01,,4.84E-02,,
,-3.95E+01,,-1.03E+01,,
,-3.73E+01,,-1.61E+00,,
,-3.43E+01,,-6.32E+00,,
,-1.42E+01,,3.19E+01,,
,-3.96E+01,,-6.62E-01,,
,-4.57E+01,,3.01E+00,,
,-3.63E+01,,1.78E+01,,
,-3.92E+01,,1.00E+01,,
,-4.78E+01,,4.25E+00,,
,-4.29E+01,,-2.90E+00,,
,-3.71E+01,,6.96E+00,,
,-4.59E+01,,3.81E+01,,
,-4.30E+01,,4.15E+01,,
,-2.39E+01,,-5.15E+00,,
,-4.86E+01,,1.88E+00,,
,-4.59E+01,,2.20E+01,,
,-5.10E+01,,5.21E+00,,
,-4.74E+01,,5.45E+00,,
,-4.52E+01,,-2.03E+00,,
,-4.22E+01,,-5.44E+00,,
,-4.60E+01,,-6.46E+00,,
,-3.95E+01,,-1.10E+00,,
,-4.24E+01,,-6.62E-01,,
,-4.42E+01,,4.95E+01,,
,-3.98E+01,,4.49E+01,,
,-4.74E+01,,2.31E+01,,
,-3.84E+01,,6.70E+00,,
,-4.28E+01,,-5.73E+00,,
,-3.87E+01,,5.23E+00,,
,-4.37E+01,,-1.44E+00,,
,-3.87E+01,,-9.80E+00,,
,-4.72E+01,,-7.39E-01,,
,-5.03E+01,,2.48E+00,,
,-4.91E+01,,8.93E+00,,
,-4.60E+01,,9.15E-01,,
,-4.32E+01,,-7.50E+00,,
,-4.68E+01,,-1.13E+00,,
,-3.74E+01,,2.36E+01,,
,-4.58E+01,,8.92E+00,,
,-4.86E+01,,7.08E+00,,
,-4.76E+01,,7.27E+00,,
,-4.36E+01,,8.01E+00,,
,-4.31E+01,,1.64E+00,,
,-5.15E+01,,5.14E+00,,
,-4.33E+01,,9.42E-02,,
,-4.38E+01,,-1.65E+00,,
,-4.27E+01,,1.26E+00,,
,-4.36E+01,,2.00E+00,,
,-4.18E+01,,1.13E+01,,
,-4.45E+01,,2.25E+00,,
,-4.43E+01,,1.38E+00,,
,-4.30E+01,,-4.55E+00,,
,-4.55E+01,,-4.29E+00,,
,-4.93E+01,,1.78E+00,,
,1.07E+02,,3.08E+00,,
,-1.11E+01,,-7.68E+00,,
,-3.72E+00,,-3.43E-01,,
,-3.12E+01,,2.56E+00,,
,-3.24E+01,,-1.89E+00,,
,-3.57E+01,,-4.11E+00,,
,-4.63E+01,,-8.64E+00,,
,-3.95E+01,,2.25E+00,,
,-4.59E+01,,-9.73E-01,,
,-3.88E+01,,1.95E+00,,
,-5.21E+01,,2.83E+00,,
,-4.71E+01,,-1.12E+01,,
,-4.72E+01,,-3.04E+00,,
,-4.70E+01,,-5.23E+00,,
,-3.83E+01,,-2.53E-02,,
,-4.03E+01,,7.67E-01,,
,-3.14E+01,,-2.24E+00,,
,-4.64E+01,,-1.91E+00,,
,-4.77E+01,,-3.21E+00,,
,-4.99E+01,,2.60E+00,,
,-5.12E+01,,1.46E+01,,
,-5.02E+01,,1.49E+01,,
,-4.30E+01,,-3.17E+00,,
,-4.74E+01,,-5.63E-02,,
,-3.77E+01,,1.04E+01,,
,-4.11E+01,,5.27E+01,,
,-4.22E+01,,8.32E+00,,
,-4.88E+01,,1.24E+01,,
,-5.09E+01,,1.58E+01,,
,-4.46E+01,,1.06E+01,,
,-3.80E+01,,1.01E+01,,
,-4.07E+01,,7.96E+00,,
,-3.94E+01,,8.18E+00,,
,-4.22E+01,,2.02E+01,,
,-5.02E+00,,1.10E+01,,
,-4.86E+01,,7.99E+00,,
,-4.49E+01,,1.94E+01,,
,-4.61E+01,,1.69E+01,,
,-5.03E+01,,1.18E+01,,
,-2.69E+01,,9.36E+00,,
,-4.00E+01,,9.21E+00,,
,-4.71E+01,,8.30E+00,,
,-5.05E+01,,5.14E+00,,
,-4.25E+01,,1.13E+01,,
,-2.51E+01,,1.58E+01,,
,-4.57E+01,,2.67E+01,,
,-4.75E+01,,1.19E+01,,
,-4.45E+01,,-4.38E+00,,
,-4.86E+01,,6.29E+00,,
,-4.73E+01,,-2.05E+00,,
,-4.60E+01,,2.16E+00,,
,-4.42E+01,,-3.53E+00,,
,-4.90E+01,,1.71E+00,,
,1.09E+01,,-3.32E+00,,
,-4.51E+01,,-5.86E+00,,
,-4.47E+01,,-9.06E+00,,
,-5.22E+01,,-4.69E+00,,
,-4.64E+01,,-8.51E+00,,
,-4.79E+01,,-2.13E+00,,
,-4.11E+01,,8.78E+00,,
,-4.74E+01,,-6.02E+00,,
,-4.01E+01,,-6.64E+00,,
,-5.21E+01,,1.14E+01,,
,-4.69E+01,,3.61E+00,,
,-3.15E+01,,-4.47E-01,,
,-4.52E+01,,1.21E+01,,
,-2.16E+01,,1.66E+00,,
,-4.55E+01,,1.38E+01,,
,-4.09E+01,,1.40E+01,,
,-4.25E+01,,4.70E+00,,
,-4.29E+01,,4.89E+00,,
,-4.33E+01,,5.91E+00,,
,-3.74E+01,,1.21E+01,,
,-4.61E+01,,7.40E+00,,
,-4.73E+01,,7.10E+00,,
,-4.23E+01,,1.04E+01,,
,-4.64E+01,,7.96E+00,,
,-4.77E+01,,1.27E+01,,
,-4.40E+01,,9.41E+00,,
,-3.48E+01,,3.27E+01,,
,-4.62E+01,,2.10E+01,,
,-4.00E+01,,-8.62E-01,,
,-4.87E+01,,-1.98E+00,,
,-4.37E+01,,-3.45E+00,,
,-4.65E+01,,-7.07E-01,,
,-3.45E+01,,1.44E-01,,
,-2.82E+01,,1.11E+01,,
,-4.17E+01,,2.69E+00,,
,-4.20E+01,,-2.64E+00,,
,-4.46E+01,,-1.26E+00,,
,-4.29E+01,,2.90E+01,,
,-4.30E+01,,9.81E+00,,
,-5.07E+01,,3.18E+00,,
,-5.48E+01,,7.51E+00,,
,-4.18E+01,,8.91E+00,,
,-5.10E+01,,3.66E+00,,
,-3.95E+01,,7.18E+00,,
,-5.07E+01,,8.80E+00,,
,-5.04E+01,,3.38E-01,,
,-4.48E+01,,1.28E+01,,
,-4.44E+01,,4.37E+00,,
,-4.23E+01,,9.34E+00,,
,-4.34E+01,,3.11E+00,,
,-3.92E+01,,7.00E+00,,
,-5.38E+01,,6.56E+01,,
,-4.11E+01,,3.20E+00,,
,-4.17E+01,,1.25E+01,,
,-4.44E+01,,1.36E+01,,
,-4.21E+01,,2.16E+01,,
,-4.19E+01,,5.20E+01,,
,-2.87E+01,,1.48E+01,,
,-2.29E+01,,1.08E+01,,
,-4.75E+01,,7.33E+00,,
,-4.05E+01,,1.33E+01,,
,-4.53E+01,,1.22E+01,,
,-5.08E+01,,1.19E+01,,
,-4.49E+01,,7.33E+00,,
,-3.72E+01,,2.47E+01,,
,-4.66E+01,,7.48E+00,,
,-4.51E+01,,1.73E+01,,
,-3.62E+01,,8.11E+00,,
,-4.36E+01,,1.10E+01,,
,-4.65E+01,,9.97E+00,,
,-4.88E+01,,9.82E+00,,
,-4.10E+01,,9.14E-02,,
,-4.58E+01,,8.24E+00,,
,-4.68E+01,,8.02E+00,,
,-5.04E+01,,-3.30E-02,,
,-2.89E+01,,1.30E+01,,
,-4.64E+01,,2.68E+01,,
,-4.56E+01,,4.53E+00,,
,-3.47E+01,,1.21E+01,,
,-4.46E+01,,2.86E-01,,
,-3.58E+01,,-3.66E+00,,
,-3.98E+01,,2.19E+01,,
,-4.92E+01,,5.05E+00,,
,-4.72E+01,,6.27E+00,,
,-3.31E+01,,1.85E+01,,
,-3.63E+01,,1.01E+01,,
,-4.60E+01,,1.32E+01,,
